Station;Country;City;Zip;Adress;Latitude;Longitude
Flughafen Frankfurt-Hahn - EDFH;;;;;49,945;7,261
WÅrzburg Flugplatz Schenkenturm;;;;;49,816;9,901
Flugplatz Trier-Fîhren - EDRT;;;;;49,863;6,786
Karlsruhe/ Baden-Baden Flughafen;;;;;48,778;8,087
EDDR (SaarbrÅcken);;;;;49,214;7,110
Kîln-Bonn Flughafen;;;;;50,879;7,128
Stuttgart Flughafen;;;;;48,688;9,192
Flugplatz Kassel-Calden - EDVK;;;;;51,416;9,386
Dortmund Flughafen;;;;;51,518;7,609
DÅsseldorf Flughafen;;;;;51,286;6,748
EDDN (NÅrnberg);;;;;49,498;11,078
Erfurt Flughafen;;;;;50,976;10,954
Manching Flugplatz;;;;;48,723;11,551
Hannover Flughafen;;;;;52,461;9,688
MÅnchen Flughafen;;;;;48,348;11,812
EDJA (Memmingen);;;;;47,985;10,230
EDNY (Friedrichshafen);;;;;47,676;9,526
EDMO (Oberpfaffenhofen);;;;;48,082;11,284
Stra·bourg Airport;;;;;48,537;7,619
Metz-Nancy-Lorraine Airport;;;;;48,981;6,243
Maastricht Airport;;;;;50,913;5,778
EuroAirport-Basel-Mulhouse-Freiburg;;;;;47,602;7,524
BrÅssel Airport;;;;;50,905;4,493
