Station;Country;City;Zip;Adress;Latitude;Longitude;
Frankfurter Messe;;;;;50,111;8,653;no airport
Eiserner Steg / Mainkai;;;;;50,108;8,681;no airport
EZB-Park;;;;;50,107;8,707;no airport
Westhafen-Tower;;;;;50,101;8,664;no airport
Offenbach HBF;;;;;50,099;8,760;no airport
Darmstadt HBF;;;;;49,872;8,630;no airport
Mainz-Kastel Bahnhof;;;;;50,006;8,283;no airport
Mainz HBF;;;;;50,001;8,259;no airport
Mainz Rheingoldhalle / City;;;;;50,001;8,275;no airport
Mainz Volkspark;;;;;49,986;8,291;no airport
Wiesbaden HBF;;;;;50,070;8,244;no airport
Wiesbaden City;;;;;50,078;8,239;no airport
Wiesbaden Schiersteiner Hafen;;;;;50,041;8,207;no airport
Wiesbaden Biebrich;;;;;50,051;8,239;no airport
RÅdesheim am Rhein HBF;;;;;49,977;7,915;no airport
Eltville;;;;;50,025;8,125;no airport
Bingen Rhein Stadt BF;;;;;49,969;7,903;no airport
Aschaffenburg HBF;;;;;49,980;9,141;no airport
Limburg a. d. Lahn HBF;;;;;50,384;8,062;no airport
Gie·en HBF;;;;;50,579;8,663;no airport
Mannheim HBF;;;;;49,479;8,470;no airport
Ludwigshafen HBF;;;;;49,478;8,435;no airport
Koblenz HBF;;;;;50,350;7,589;no airport
Marburg HBF;;;;;50,819;8,774;no airport
Idar-Oberstein HBF;;;;;49,699;7,320;no airport
